image_id,class_id
101250,0
102512,0
102724,1
103079,0
103232,0
103244,0
104541,0
106628,0
107296,0
10765,7
110006,0
110454,0
111067,1
11217,7
112278,0
112399,0
112468,0
113287,0
113561,0
115135,3
115692,0
115734,0
116299,0
116497,0
11680,7
116872,0
117749,0
118142,0
118462,0
118655,0
119564,0
119733,0
120231,0
121531,0
123791,0
125650,3
125728,0
125919,1
127304,0
127574,0
130776,0
131085,0
131702,0
132118,0
132479,0
132890,0
134831,1
135685,1
136170,0
137528,0
13753,0
137636,0
137654,0
138164,0
138562,0
139136,0
139507,1
139568,0
140365,3
140384,0
14170,2
143103,0
143290,0
144306,0
144642,0
146302,0
146321,0
147757,0
147934,0
147961,0
150201,0
150262,0
150347,0
150759,0
152747,0
152985,0
153015,0
153044,0
153842,0
154554,0
155390,0
155532,0
155599,0
157053,7
157098,0
15813,8
158355,0
158475,3
159191,0
16017,0
160685,0
161057,0
16235,0
162455,0
163414,0
164154,0
16495,0
165226,0
165366,0
166564,0
166585,7
167035,7
167326,7
167344,0
167788,7
167935,0
168321,7
168350,0
168838,7
169343,0
169416,7
169961,1
170415,7
170712,1
170859,0
170876,7
171517,3
171776,1
172142,0
172187,1
17240,0
172559,0
172572,1
172785,0
173025,1
173466,1
173876,0
174082,0
174084,1
17412,0
174819,1
174851,0
174906,0
175151,0
175298,1
175311,7
175578,1
176032,1
176981,1
177009,0
177230,0
177453,1
17902,0
181451,3
182609,0
182996,1
183443,7
183977,7
184428,7
184461,0
184982,1
185941,7
186408,7
186895,7
186916,0
187383,7
187868,7
188392,7
188876,7
189009,0
189376,1
189496,0
189895,1
189902,0
189920,7
190377,7
190429,7
190536,6
190877,7
191457,0
191996,1
191997,7
192027,0
192047,0
192400,0
192519,7
192563,0
193011,0
193017,7
193588,7
193854,3
193904,0
194141,7
194186,0
194713,0
194734,7
194753,0
195297,7
195335,0
196362,7
196372,0
196408,0
197027,7
197659,7
198582,7
199261,7
199930,7
200132,3
200155,0
200228,0
200478,7
200482,1
200930,7
201571,7
202196,7
202809,7
203066,0
204037,7
2042,0
204225,0
204239,3
204470,7
204525,0
205003,7
205295,0
205562,7
206123,7
206961,7
207512,7
208046,7
208245,0
208585,0
208593,1
208787,0
209262,0
209357,3
209817,7
210048,0
210313,0
210495,7
23295,1
23943,3
241987,0
243652,0
244010,0
245055,0
245304,0
245858,0
246145,0
246599,0
247286,0
247570,3
247631,0
247813,0
248180,0
248994,0
249070,0
249830,0
250067,0
250447,0
250454,0
251195,0
251482,0
251513,0
252161,0
252284,0
252842,0
253071,0
253219,0
253262,3
254350,0
254642,7
255904,0
255953,0
256196,0
256372,2
256640,0
256841,0
257580,0
257697,0
258508,0
259869,0
260053,3
261843,0
262233,0
262975,0
265112,0
266599,0
267379,0
267609,0
267633,0
268121,0
268138,0
268423,0
2694,5
270398,0
270683,0
270803,0
270873,0
271349,0
271409,0
271464,6
271864,0
272474,0
273409,0
273504,3
274151,1
274317,0
274698,0
274964,0
275324,0
27537,1
27558,0
275580,0
275925,0
276075,0
276589,0
277094,0
277471,0
278426,0
279367,0
279525,1
279850,0
280401,0
280854,0
281080,0
2811,0
282226,1
285220,3
285688,0
287792,0
287886,0
288332,2
289053,0
289715,2
289874,0
289915,0
290325,0
291041,0
291483,0
291673,3
291833,0
292775,0
293689,0
293841,3
294272,0
2946,0
294864,0
295995,0
296538,0
296597,0
